Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Dendritic cells resting,Dendritic cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
9099,0,0,0,0.00797275958142137,0,0.118989983836008,0.000981806898122244,0,0,0.100419465879751,0.00405535845052728,0.233218831700637,0,0.00592533073058624,0,0.528436462922947,0,0.587630601283868,0.931219469545137
9100,0,0.0831135556131266,0.0263088227290326,0,0,0.105670435857325,0.00781427058050157,0,0,0.0485511897862914,0.0406901664815054,0.0817038439101209,0,0.0114287764896959,0,0.594718938552401,0,0.595553084637169,0.925372014243507
9101,0,0.108058030610796,0,0,0.0368486087497934,0,0,0.0084799112680073,0,0.0251248271783093,0,0.124052284520969,0,0,0,0.697436337672125,0,0.578402758034457,1.03411618005533
9102,0,0.0526467934533876,0.00034409344048422,0,0,0.0868562401644818,0,0,0,0.0839496431347652,0.00142835307469426,0.114399316771332,0,0.00418594860292017,0,0.656189611357934,0,0.586108162497206,0.99166708787117
9103,0,0.017969840778266,0.0030439846340225,0.0523043182464066,0,0.122398980391933,0,0,0,0.12687124812874,0.0173570249378693,0.151690826815077,0,0.00646352706789743,0,0.501900248999788,0,0.57303654680111,0.915847917409616
9104,0.0163245156518497,0.0393019261093998,0.010176616732481,0.00447597798248824,0.00422864010866709,0.134859709528603,0.0163294774908822,0,0,0.120072647490492,0,0.175492156085936,0.00546733503171392,0,0,0.473270997787488,0,0.566578466761888,0.909668642504841
9105,0.022686596509309,0,0,0.0423877667999574,0,0.0876211883102524,0,0,0.0312075072821406,0.119620158412492,0.010815290616967,0.294624266425993,0,0.00925033367877525,0,0.381786891964113,0,0.479815049288437,0.971631543011518
9106,0,0.0935424909337181,0.00286094244587481,0,0.0380310479665176,0.0235031135466842,0,0.00182152050777376,0,0.0489969874336532,0,0.0738059669144045,0,0.0066018615971316,0,0.710836068654242,0,0.62777155911699,0.97392757884138
9107,0,0.0626457085580596,0,0,0.0613413259800824,0.100481517700462,0,0,0,0.0469286318857033,0,0.18353286226186,0,0,0,0.545069953613832,0.001,0.160794204143736,1.32547889242832
9108,0,0.0519708557239353,0.0145699197159562,0,0.0475496343569773,0.0610362783897205,0.00491484379710724,0,0,0.0653544308476576,0,0.0910187567861247,0,0,0,0.663585280382521,0,0.596353414965239,0.980346714369238
9109,0,0.022870455775961,0.00256449468938955,0.0256494666219614,0,0.144804758993687,0.00480210156015095,0,0,0.113516349508591,0.0212423633747319,0.211743099842426,0,0.000203427091232106,0,0.452603482541869,0,0.524548036623924,0.949263072558512
9110,0,0.0525701191141645,0.0169883701011983,0,0.0103280252422666,0.0428986198676188,0.00881215496748209,0,0,0.0319584424078427,0.000206227223625004,0.128047655367033,0,0,0,0.708190385708769,0,0.587650404489099,1.03115405232179
9112,0.00128283861229116,0.0294273166102042,0,0.0765016249175604,0,0.0816047385497705,0,0,0.0126226954944101,0.0696190355475978,0.0348438957668632,0.226606627093644,0.000461746317750546,0,0,0.467029481089908,0,0.459647120342934,1.01960436328091
9113,0,0.0387793177831397,0,0.051906432483395,0,0.0600395204352179,0,0,0.0150039731830676,0.163023927644907,0.0100677889131695,0.162909375451846,0,0,0,0.498269664105258,0,0.609511600979369,0.877646833183364
9114,0.0474006463353539,0.0150541821676142,0,0.177442684056525,0,0.0544978796385621,0,0,0.028461913511506,0.194105087860295,0.0426537838002093,0.204343295101938,0,0.0127345538147303,0,0.223305973713267,0,0.420115256546421,0.954471488731591
9116,0,0.0686062637006246,0,0,0.0592397125384688,0,0,0.00208757089966058,0,0.0912920165592465,0,0,0,0.00130619011036886,0,0.777468246191631,0,0.551205973778497,1.10770535303016
9117,0,0.0463997899252553,0.0028336485218177,0,0.0535270918431103,0,0,0,0,0.0798855690321147,0,0.0408918370595197,0,0,0,0.776462063618182,0,0.565913095169182,1.09982637479247
9118,0,0.0344071330742524,0.00214099718630024,0,0.0207873978771858,0.0796842674052536,0,0,0,0.101637995541445,0,0.191575371456725,0,0,0,0.569766837458839,0,0.588854933155677,0.947606590186404
9119,0.000731292953163723,0.027021076637881,0.000994610650671571,0,0,0.188945653092101,0,0,0,0.0967455915775716,0.00468081005244035,0.130603949419934,0,0.000309839571636769,0,0.5499671760446,0,0.572209727530585,0.93919550077929
9120,0,0.0403149986396509,0.0078317359461991,0,0,0.0888244350903308,0,0,0,0.0884524895190444,0,0.0816351896002974,0,0.00723632468040427,0,0.685704826524073,0,0.525827515610634,1.07512144400224
9121,0,0.0575513941376366,0.00354441544455773,0,0.00121626403628569,0.0846765743413556,0,0,0,0.0895755705906963,0,0.201191367460615,0,0,0,0.562244413988853,0,0.577174471924735,0.955541019177123
9122,0.0146303280959518,0.0446178948882241,0,0,0.0812483610934276,0.131492073050277,0,0,0,0.12536671829272,0,0.174269451882948,0,0,0,0.42837517269645,0,0.371553589480232,1.07851505210304
9123,0.0465261920260095,0.0280302414585992,0,0,0.144037559178148,0.16668571675969,0,0,0,0.0769033763669867,0,0.163122595081046,0.00276805257331714,0,0,0.371926266556203,0,0.487804817485535,0.955743439386428
9124,0.0735131369263731,0,0,0.0233626710418354,0.078635500571848,0.0944776921799812,0,0,0,0.0939647423380474,0,0.126856743009626,0.0149286912030709,0,0,0.494260822729218,0,0.411338094820743,1.06755995531693
9125,0.0885771083112081,0,0,0.0623221124402185,0.0537422243629194,0.156584835956749,0,0,0,0.153828335108181,0,0.0468613397132181,0.0072845631477658,0,0,0.430799480959741,0,0.415971515273601,1.01787492816252
9126,0.0670686388349086,0.0202106695285706,0,0.0681435418175667,0.0443859965642516,0.107838120415248,0,0,0,0.146063335921632,0.0124501142769671,0.174792646132289,0.0104339478119465,0,0,0.348612988696619,0,0.519419106874983,0.907511044009381
9127,0.00227202728685858,0.0426402328995627,0,0.0535657753012524,0.0108769088877857,0.103259471101751,0,0,0,0.0860785073124466,0.00317783934925888,0.170335318546307,0,0,0,0.527793919314776,0,0.513122320845936,0.995059784127555
9128,0.0573661895040798,0.013540087305062,0,0.0445176205339901,0.0301641186963951,0.131749779348879,0,0,0.0052796211058534,0.124614826381046,0.0117859722357848,0.172063679272575,0,0,0,0.408918105616335,0,0.489729112513427,0.95625559529447
9129,0.0405787619187336,0.0834287341020421,0,0.0262146531589761,0.0806955461784197,0.0714012770683815,0,0,0,0.0894277690333638,0,0.196932767342112,0.00506325433231051,0,0,0.406257236865661,0,0.49250495609413,0.960132056394663
9130,0.0229910126304541,0.0493495139255793,0,0.0688637347679026,0.0400325434420673,0.096648523919299,0,0,0,0.154917056467234,0,0.140997449089773,0.012959787085849,0,0,0.413240378671841,0,0.518926529183295,0.929354164133203
9131,0.0238183283879816,0.035245771869302,0,0.0254564971142306,0.111004645147201,0.150271207413178,0,0,0,0.118072321681248,0,0.114095514226262,0,0.000976916745624296,0,0.421058797414972,0,0.476870359987503,0.976673422367248
