color	gene_n
maroon	KIDINS220
maroon	KIF5B
maroon	KIN
maroon	KLF6
maroon	KLHL24
maroon	KLHL8
maroon	KPNA4
maroon	KRAS
maroon	KRCC1
maroon	LACTB
maroon	LAMP2
maroon	LAMTOR3
maroon	LAMTOR5
maroon	LBR
maroon	LCOR
maroon	LDHA
maroon	LEMD3
maroon	LGALS3BP
maroon	LGALS8
maroon	LGALS9
maroon	LHFPL2
maroon	LIG4
maroon	LIN7A
maroon	LINC02555
maroon	LMNB1
maroon	LPCAT2
maroon	LPGAT1
maroon	LRRK2
maroon	LRRK2-DT
maroon	LY6E
maroon	LY86-AS1
maroon	LY96
maroon	LYPLA1
maroon	LYRM1
maroon	MAD2L1BP
maroon	MAN1A1
maroon	MAP2K4
maroon	MAP2K6
maroon	MAP3K2
maroon	MAP3K20
maroon	MAP3K5
maroon	MARCHF5
maroon	MARCHF7
maroon	MBOAT2
maroon	MCL1
maroon	MCMBP
maroon	MCTP1
maroon	MED13
maroon	MED4
maroon	METTL9
maroon	MFF
maroon	MFN1
maroon	MFSD1
maroon	MIA2
maroon	MICB
maroon	MICU2
maroon	MIER1
maroon	MINDY2
maroon	MINDY3
maroon	MKLN1
maroon	MMADHC
maroon	MNDA
maroon	MOB1A
maroon	MOB4
maroon	MORC3
maroon	MORF4L1
maroon	MOSPD2
maroon	MOV10
maroon	MTMR10
maroon	MTMR6
maroon	MTRF1L
maroon	MX1
maroon	MX2
maroon	MYL12A
maroon	MYL12B
maroon	N4BP2L2
maroon	NAB1
maroon	NABP1
maroon	NAIPP2
maroon	NAMPT
maroon	NAP1L4P1
maroon	NAPA
maroon	NAPG
maroon	NBN
maroon	NCF1C
maroon	NCOA7
maroon	NEK7
maroon	NFE2L2
maroon	NFIL3
maroon	NGLY1
maroon	NIN
maroon	NIPBL
maroon	NKIRAS2
maroon	NMI
maroon	NRAS
maroon	NRBF2
maroon	NRDC
maroon	NRIR
maroon	NT5C2
maroon	NT5C3A
maroon	NUB1
maroon	NUFIP2
maroon	NUP58
maroon	OAS1
maroon	OAS2
maroon	OAS3
maroon	OASL
maroon	ODF3B
maroon	OGFR
maroon	OSBPL11
maroon	OSBPL5
maroon	OSBPL8
maroon	OSGIN2
maroon	OSTF1
maroon	OSTM1
maroon	OTOF
maroon	P2RY14
maroon	PAG1
maroon	PAIP2
maroon	PAPOLA
maroon	PARP10
maroon	PARP11
maroon	PARP12
maroon	PARP14
maroon	PARP8
maroon	PARP9
maroon	PCF11
maroon	PCMT1
maroon	PCMTD1
maroon	PDCD10
maroon	PDCD1LG2
maroon	PDS5B
maroon	PDZD8
maroon	PELI1
maroon	PGM2
maroon	PHACTR2
maroon	PHF11
maroon	PHF20L1
maroon	PHIP
maroon	PIAS1
maroon	PICALM
maroon	PIK3CA
maroon	PIP4K2C
maroon	PIP4P2
maroon	PJA2
maroon	PLAA
maroon	PLEKHF2
maroon	PLSCR1
maroon	PML
maroon	PNPT1
maroon	POLDIP3
maroon	POMP
